"","unq","f.ratio","f.msy","fmsy.id","f","f.ts","stocklong.x","stocklong.y","stockid","assessid","year","b.ts","b","bmsy.id","b.msy","b.ratio","region","overfished","bmsy.status","fmsy.status","rebuilding"
"252.9","kelp greenling oregon coast 2004",0.593432,0.125,"Fmsy-1/T",0.074179,"ER-ratio","kelp greenling oregon coast","kelp greenling oregon coast","KELPGREENLINGORECOAST","NWFSC-KELPGREENLINGORECOAST-1979-2005-STANTON",2013,"SSB-MT",170.212,"SSBmsy-MT",123,1.38383739837398,"west","not overfished","above","none","not"
"254","lingcod northern pacific coast 2000",2.34687142857143,0.14,"Umsy-ratio",0.328562,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2000,"SSB-MT",5244,"SSBmsy-MT",13230,0.396371882086168,"west","Overfished","below","high","not"
"255","lingcod northern pacific coast 2000",2.34687142857143,0.14,"Fmsy-1/yr",0.328562,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2000,"SSB-MT",5244,"SSBmsy-MT",13230,0.396371882086168,"west","Overfished","below","high","not"
"256","lingcod northern pacific coast 2001",2.14440714285714,0.14,"Umsy-ratio",0.300217,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2001,"SSB-MT",6030,"SSBmsy-MT",13230,0.45578231292517,"west","Overfished","below","high","not"
"257","lingcod northern pacific coast 2001",2.14440714285714,0.14,"Fmsy-1/yr",0.300217,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2001,"SSB-MT",6030,"SSBmsy-MT",13230,0.45578231292517,"west","Overfished","below","high","not"
"258","lingcod northern pacific coast 2002",2.70120714285714,0.14,"Fmsy-1/yr",0.378169,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2002,"SSB-MT",6840,"SSBmsy-MT",13230,0.517006802721088,"west","not overfished","below","high","not"
"259","lingcod northern pacific coast 2002",2.70120714285714,0.14,"Umsy-ratio",0.378169,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2002,"SSB-MT",6840,"SSBmsy-MT",13230,0.517006802721088,"west","not overfished","below","high","not"
"260","lingcod northern pacific coast 2003",2.15282857142857,0.14,"Umsy-ratio",0.301396,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2003,"SSB-MT",7837,"SSBmsy-MT",13230,0.592365835222978,"west","not overfished","below","high","not"
"261","lingcod northern pacific coast 2003",2.15282857142857,0.14,"Fmsy-1/yr",0.301396,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2003,"SSB-MT",7837,"SSBmsy-MT",13230,0.592365835222978,"west","not overfished","below","high","not"
"262","lingcod northern pacific coast 2004",1.74595714285714,0.14,"Umsy-ratio",0.244434,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2004,"SSB-MT",9437,"SSBmsy-MT",13230,0.713303099017385,"west","not overfished","below","high","not"
"263","lingcod northern pacific coast 2004",1.74595714285714,0.14,"Fmsy-1/yr",0.244434,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2004,"SSB-MT",9437,"SSBmsy-MT",13230,0.713303099017385,"west","not overfished","below","high","not"
"264","lingcod northern pacific coast 2005",1.75780714285714,0.14,"Fmsy-1/yr",0.246093,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2005,"SSB-MT",11689,"SSBmsy-MT",13230,0.883522297808012,"west","not overfished","below","high","not"
"265","lingcod northern pacific coast 2005",1.75780714285714,0.14,"Umsy-ratio",0.246093,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2005,"SSB-MT",11689,"SSBmsy-MT",13230,0.883522297808012,"west","not overfished","below","high","not"
"266","lingcod northern pacific coast 2006",1.83321428571429,0.14,"Fmsy-1/yr",0.25665,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2006,"SSB-MT",14271,"SSBmsy-MT",13230,1.07868480725624,"west","not overfished","above","high","not"
"267","lingcod northern pacific coast 2006",1.83321428571429,0.14,"Umsy-ratio",0.25665,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2006,"SSB-MT",14271,"SSBmsy-MT",13230,1.07868480725624,"west","not overfished","above","high","not"
"268","lingcod northern pacific coast 2007",1.64461428571429,0.14,"Fmsy-1/yr",0.230246,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2007,"SSB-MT",16710,"SSBmsy-MT",13230,1.26303854875283,"west","not overfished","above","high","not"
"269","lingcod northern pacific coast 2007",1.64461428571429,0.14,"Umsy-ratio",0.230246,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2007,"SSB-MT",16710,"SSBmsy-MT",13230,1.26303854875283,"west","not overfished","above","high","not"
"270","lingcod northern pacific coast 2008",1.53075714285714,0.14,"Fmsy-1/yr",0.214306,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2008,"SSB-MT",18774,"SSBmsy-MT",13230,1.41904761904762,"west","not overfished","above","high","not"
"271","lingcod northern pacific coast 2008",1.53075714285714,0.14,"Umsy-ratio",0.214306,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2008,"SSB-MT",18774,"SSBmsy-MT",13230,1.41904761904762,"west","not overfished","above","high","not"
"2711","lingcod northern pacific coast 2008",1.53075714285714,0.14,"Umsy-ratio",0.214306,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2009,"SSB-MT",18774,"SSBmsy-MT",13230,1.41904761904762,"west","not overfished","above","high","not"
"270.1","lingcod northern pacific coast 2008",1.53075714285714,0.14,"Fmsy-1/yr",0.214306,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2010,"SSB-MT",18774,"SSBmsy-MT",13230,1.41904761904762,"west","not overfished","above","high","not"
"271.1","lingcod northern pacific coast 2008",1.53075714285714,0.14,"Umsy-ratio",0.214306,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2011,"SSB-MT",18774,"SSBmsy-MT",13230,1.41904761904762,"west","not overfished","above","high","not"
"270.2","lingcod northern pacific coast 2008",1.53075714285714,0.14,"Fmsy-1/yr",0.214306,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2012,"SSB-MT",18774,"SSBmsy-MT",13230,1.41904761904762,"west","not overfished","above","high","not"
"271.2","lingcod northern pacific coast 2008",1.53075714285714,0.14,"Umsy-ratio",0.214306,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2013,"SSB-MT",18774,"SSBmsy-MT",13230,1.41904761904762,"west","not overfished","above","high","not"
"270.3","lingcod northern pacific coast 2008",1.53075714285714,0.14,"Fmsy-1/yr",0.214306,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2008,"SSB-MT",18774,"SSBmsy-MT",13230,1.41904761904762,"west","not overfished","above","high","not"
"271.3","lingcod northern pacific coast 2008",1.53075714285714,0.14,"Umsy-ratio",0.214306,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2009,"SSB-MT",18774,"SSBmsy-MT",13230,1.41904761904762,"west","not overfished","above","high","not"
"270.4","lingcod northern pacific coast 2008",1.53075714285714,0.14,"Fmsy-1/yr",0.214306,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2010,"SSB-MT",18774,"SSBmsy-MT",13230,1.41904761904762,"west","not overfished","above","high","not"
"271.4","lingcod northern pacific coast 2008",1.53075714285714,0.14,"Umsy-ratio",0.214306,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2011,"SSB-MT",18774,"SSBmsy-MT",13230,1.41904761904762,"west","not overfished","above","high","not"
"270.5","lingcod northern pacific coast 2008",1.53075714285714,0.14,"Fmsy-1/yr",0.214306,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2012,"SSB-MT",18774,"SSBmsy-MT",13230,1.41904761904762,"west","not overfished","above","high","not"
"271.5","lingcod northern pacific coast 2008",1.53075714285714,0.14,"Umsy-ratio",0.214306,"F-1/T","lingcod northern pacific coast","lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2013,"SSB-MT",18774,"SSBmsy-MT",13230,1.41904761904762,"west","not overfished","above","high","not"
"273","lingcod southern pacific coast 2000",0.23,0.08,"Umsy-ratio",0.0184,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2000,"SSB-MT",3157,"SSBmsy-MT",10124,0.311833267483208,"west","Overfished","below","none","not"
"274","lingcod southern pacific coast 2000",0.23,0.08,"Fmsy-1/yr",0.0184,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2000,"SSB-MT",3157,"SSBmsy-MT",10124,0.311833267483208,"west","Overfished","below","none","not"
"275","lingcod southern pacific coast 2001",0.215,0.08,"Umsy-ratio",0.0172,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2001,"SSB-MT",3809,"SSBmsy-MT",10124,0.376234689845911,"west","Overfished","below","none","not"
"276","lingcod southern pacific coast 2001",0.215,0.08,"Fmsy-1/yr",0.0172,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2001,"SSB-MT",3809,"SSBmsy-MT",10124,0.376234689845911,"west","Overfished","below","none","not"
"277","lingcod southern pacific coast 2002",0.2275,0.08,"Umsy-ratio",0.0182,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2002,"SSB-MT",4693,"SSBmsy-MT",10124,0.463551955748716,"west","Overfished","below","none","not"
"278","lingcod southern pacific coast 2002",0.2275,0.08,"Fmsy-1/yr",0.0182,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2002,"SSB-MT",4693,"SSBmsy-MT",10124,0.463551955748716,"west","Overfished","below","none","not"
"279","lingcod southern pacific coast 2003",0.11,0.08,"Fmsy-1/yr",0.0088,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2003,"SSB-MT",5788,"SSBmsy-MT",10124,0.571710786250494,"west","not overfished","below","none","not"
"280","lingcod southern pacific coast 2003",0.11,0.08,"Umsy-ratio",0.0088,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2003,"SSB-MT",5788,"SSBmsy-MT",10124,0.571710786250494,"west","not overfished","below","none","not"
"281","lingcod southern pacific coast 2004",0.10375,0.08,"Fmsy-1/yr",0.0083,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2004,"SSB-MT",7278,"SSBmsy-MT",10124,0.71888581588305,"west","not overfished","below","none","not"
"282","lingcod southern pacific coast 2004",0.10375,0.08,"Umsy-ratio",0.0083,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2004,"SSB-MT",7278,"SSBmsy-MT",10124,0.71888581588305,"west","not overfished","below","none","not"
"283","lingcod southern pacific coast 2005",0.07625,0.08,"Umsy-ratio",0.0061,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2005,"SSB-MT",9699,"SSBmsy-MT",10124,0.958020545239036,"west","not overfished","below","none","not"
"284","lingcod southern pacific coast 2005",0.07625,0.08,"Fmsy-1/yr",0.0061,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2005,"SSB-MT",9699,"SSBmsy-MT",10124,0.958020545239036,"west","not overfished","below","none","not"
"285","lingcod southern pacific coast 2006",0.06375,0.08,"Fmsy-1/yr",0.0051,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2006,"SSB-MT",12233,"SSBmsy-MT",10124,1.20831687080205,"west","not overfished","above","none","not"
"286","lingcod southern pacific coast 2006",0.06375,0.08,"Umsy-ratio",0.0051,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2006,"SSB-MT",12233,"SSBmsy-MT",10124,1.20831687080205,"west","not overfished","above","none","not"
"287","lingcod southern pacific coast 2007",0.07125,0.08,"Umsy-ratio",0.0057,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2007,"SSB-MT",14652,"SSBmsy-MT",10124,1.44725404978269,"west","not overfished","above","none","not"
"288","lingcod southern pacific coast 2007",0.07125,0.08,"Fmsy-1/yr",0.0057,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2007,"SSB-MT",14652,"SSBmsy-MT",10124,1.44725404978269,"west","not overfished","above","none","not"
"289","lingcod southern pacific coast 2008",0.05625,0.08,"Umsy-ratio",0.0045,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2008,"SSB-MT",16861,"SSBmsy-MT",10124,1.66544843935203,"west","not overfished","above","none","not"
"290","lingcod southern pacific coast 2008",0.05625,0.08,"Fmsy-1/yr",0.0045,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2008,"SSB-MT",16861,"SSBmsy-MT",10124,1.66544843935203,"west","not overfished","above","none","not"
"2901","lingcod southern pacific coast 2008",0.05625,0.08,"Fmsy-1/yr",0.0045,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2009,"SSB-MT",16861,"SSBmsy-MT",10124,1.66544843935203,"west","not overfished","above","none","not"
"289.1","lingcod southern pacific coast 2008",0.05625,0.08,"Umsy-ratio",0.0045,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2010,"SSB-MT",16861,"SSBmsy-MT",10124,1.66544843935203,"west","not overfished","above","none","not"
"290.1","lingcod southern pacific coast 2008",0.05625,0.08,"Fmsy-1/yr",0.0045,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2011,"SSB-MT",16861,"SSBmsy-MT",10124,1.66544843935203,"west","not overfished","above","none","not"
"289.2","lingcod southern pacific coast 2008",0.05625,0.08,"Umsy-ratio",0.0045,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2012,"SSB-MT",16861,"SSBmsy-MT",10124,1.66544843935203,"west","not overfished","above","none","not"
"290.2","lingcod southern pacific coast 2008",0.05625,0.08,"Fmsy-1/yr",0.0045,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2013,"SSB-MT",16861,"SSBmsy-MT",10124,1.66544843935203,"west","not overfished","above","none","not"
"289.3","lingcod southern pacific coast 2008",0.05625,0.08,"Umsy-ratio",0.0045,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2008,"SSB-MT",16861,"SSBmsy-MT",10124,1.66544843935203,"west","not overfished","above","none","not"
"290.3","lingcod southern pacific coast 2008",0.05625,0.08,"Fmsy-1/yr",0.0045,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2009,"SSB-MT",16861,"SSBmsy-MT",10124,1.66544843935203,"west","not overfished","above","none","not"
"289.4","lingcod southern pacific coast 2008",0.05625,0.08,"Umsy-ratio",0.0045,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2010,"SSB-MT",16861,"SSBmsy-MT",10124,1.66544843935203,"west","not overfished","above","none","not"
"290.4","lingcod southern pacific coast 2008",0.05625,0.08,"Fmsy-1/yr",0.0045,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2011,"SSB-MT",16861,"SSBmsy-MT",10124,1.66544843935203,"west","not overfished","above","none","not"
"289.5","lingcod southern pacific coast 2008",0.05625,0.08,"Umsy-ratio",0.0045,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2012,"SSB-MT",16861,"SSBmsy-MT",10124,1.66544843935203,"west","not overfished","above","none","not"
"290.5","lingcod southern pacific coast 2008",0.05625,0.08,"Fmsy-1/yr",0.0045,"U-ratio","lingcod southern pacific coast","lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2013,"SSB-MT",16861,"SSBmsy-MT",10124,1.66544843935203,"west","not overfished","above","none","not"
"291","longnose skate pacific coast 2000",1.87777777777778,0.027,"Fmsy-1/yr",0.0507,"ER-ratio","longnose skate pacific coast","longnose skate pacific coast","LNOSESKAPCOAST","NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH",2000,"SSB-MT",4858.02,"SSBmsy-MT",2626,1.84996953541508,"west","not overfished","above","high","not"
"292","longnose skate pacific coast 2001",1.22222222222222,0.027,"Fmsy-1/yr",0.033,"ER-ratio","longnose skate pacific coast","longnose skate pacific coast","LNOSESKAPCOAST","NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH",2001,"SSB-MT",4703.24,"SSBmsy-MT",2626,1.79102817974105,"west","not overfished","above","overfishing","not"
"293","longnose skate pacific coast 2002",0.448148148148148,0.027,"Fmsy-1/yr",0.0121,"ER-ratio","longnose skate pacific coast","longnose skate pacific coast","LNOSESKAPCOAST","NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH",2002,"SSB-MT",4637.57,"SSBmsy-MT",2626,1.76602056359482,"west","not overfished","above","none","not"
"294","longnose skate pacific coast 2003",1.1962962962963,0.027,"Fmsy-1/yr",0.0323,"ER-ratio","longnose skate pacific coast","longnose skate pacific coast","LNOSESKAPCOAST","NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH",2003,"SSB-MT",4670.75,"SSBmsy-MT",2626,1.7786557501904,"west","not overfished","above","overfishing","not"
"295","longnose skate pacific coast 2004",0.525925925925926,0.027,"Fmsy-1/yr",0.0142,"ER-ratio","longnose skate pacific coast","longnose skate pacific coast","LNOSESKAPCOAST","NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH",2004,"SSB-MT",4617.13,"SSBmsy-MT",2626,1.75823686214775,"west","not overfished","above","none","not"
"296","longnose skate pacific coast 2005",0.859259259259259,0.027,"Fmsy-1/yr",0.0232,"ER-ratio","longnose skate pacific coast","longnose skate pacific coast","LNOSESKAPCOAST","NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH",2005,"SSB-MT",4651.08,"SSBmsy-MT",2626,1.77116527037319,"west","not overfished","above","none","not"
"297","longnose skate pacific coast 2006",1.03333333333333,0.027,"Fmsy-1/yr",0.0279,"ER-ratio","longnose skate pacific coast","longnose skate pacific coast","LNOSESKAPCOAST","NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH",2006,"SSB-MT",4650.07,"SSBmsy-MT",2626,1.77078065498858,"west","not overfished","above","overfishing","not"
"298","longnose skate pacific coast 2007",0.8,0.027,"Fmsy-1/yr",0.0216,"ER-ratio","longnose skate pacific coast","longnose skate pacific coast","LNOSESKAPCOAST","NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH",2007,"SSB-MT",4634.18,"SSBmsy-MT",2626,1.76472962680883,"west","not overfished","above","none","not"
"298.1","longnose skate pacific coast 2007",0.8,0.027,"Fmsy-1/yr",0.0216,"ER-ratio","longnose skate pacific coast","longnose skate pacific coast","LNOSESKAPCOAST","NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH",2008,"SSB-MT",4634.18,"SSBmsy-MT",2626,1.76472962680883,"west","not overfished","above","none","not"
"298.2","longnose skate pacific coast 2007",0.8,0.027,"Fmsy-1/yr",0.0216,"ER-ratio","longnose skate pacific coast","longnose skate pacific coast","LNOSESKAPCOAST","NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH",2009,"SSB-MT",4634.18,"SSBmsy-MT",2626,1.76472962680883,"west","not overfished","above","none","not"
"298.3","longnose skate pacific coast 2007",0.8,0.027,"Fmsy-1/yr",0.0216,"ER-ratio","longnose skate pacific coast","longnose skate pacific coast","LNOSESKAPCOAST","NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH",2010,"SSB-MT",4634.18,"SSBmsy-MT",2626,1.76472962680883,"west","not overfished","above","none","not"
"298.4","longnose skate pacific coast 2007",0.8,0.027,"Fmsy-1/yr",0.0216,"ER-ratio","longnose skate pacific coast","longnose skate pacific coast","LNOSESKAPCOAST","NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH",2011,"SSB-MT",4634.18,"SSBmsy-MT",2626,1.76472962680883,"west","not overfished","above","none","not"
"298.5","longnose skate pacific coast 2007",0.8,0.027,"Fmsy-1/yr",0.0216,"ER-ratio","longnose skate pacific coast","longnose skate pacific coast","LNOSESKAPCOAST","NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH",2012,"SSB-MT",4634.18,"SSBmsy-MT",2626,1.76472962680883,"west","not overfished","above","none","not"
"298.6","longnose skate pacific coast 2007",0.8,0.027,"Fmsy-1/yr",0.0216,"ER-ratio","longnose skate pacific coast","longnose skate pacific coast","LNOSESKAPCOAST","NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH",2013,"SSB-MT",4634.18,"SSBmsy-MT",2626,1.76472962680883,"west","not overfished","above","none","not"
"299","longspine thornyhead pacific coast 2000",0.563380281690141,0.071,"Umsy-ratio",0.04,"F","longspine thornyhead pacific coast","longspine thornyhead pacific coast","LSTHORNHPCOAST","NWFSC-LSTHORNHPCOAST-1964-2013-KURIYAMA",2000,"SSB-MT",18189,"SSBmsy-MT",13108,1.38762587732682,"west","not overfished","above","none","not"
"300","longspine thornyhead pacific coast 2001",0.422535211267606,0.071,"Umsy-ratio",0.03,"F","longspine thornyhead pacific coast","longspine thornyhead pacific coast","LSTHORNHPCOAST","NWFSC-LSTHORNHPCOAST-1964-2013-KURIYAMA",2001,"SSB-MT",18484,"SSBmsy-MT",13108,1.41013121757705,"west","not overfished","above","none","not"
"301","longspine thornyhead pacific coast 2002",0.704225352112676,0.071,"Umsy-ratio",0.05,"F","longspine thornyhead pacific coast","longspine thornyhead pacific coast","LSTHORNHPCOAST","NWFSC-LSTHORNHPCOAST-1964-2013-KURIYAMA",2002,"SSB-MT",19064,"SSBmsy-MT",13108,1.45437900518767,"west","not overfished","above","none","not"
"302","longspine thornyhead pacific coast 2003",0.563380281690141,0.071,"Umsy-ratio",0.04,"F","longspine thornyhead pacific coast","longspine thornyhead pacific coast","LSTHORNHPCOAST","NWFSC-LSTHORNHPCOAST-1964-2013-KURIYAMA",2003,"SSB-MT",19378,"SSBmsy-MT",13108,1.47833384192859,"west","not overfished","above","none","not"
"303","longspine thornyhead pacific coast 2004",0.28169014084507,0.071,"Umsy-ratio",0.02,"F","longspine thornyhead pacific coast","longspine thornyhead pacific coast","LSTHORNHPCOAST","NWFSC-LSTHORNHPCOAST-1964-2013-KURIYAMA",2004,"SSB-MT",19958,"SSBmsy-MT",13108,1.52258162953921,"west","not overfished","above","none","not"
"304","longspine thornyhead pacific coast 2005",0.140845070422535,0.071,"Umsy-ratio",0.01,"F","longspine thornyhead pacific coast","longspine thornyhead pacific coast","LSTHORNHPCOAST","NWFSC-LSTHORNHPCOAST-1964-2013-KURIYAMA",2005,"SSB-MT",21060,"SSBmsy-MT",13108,1.60665242599939,"west","not overfished","above","none","not"
"305","longspine thornyhead pacific coast 2006",0.28169014084507,0.071,"Umsy-ratio",0.02,"F","longspine thornyhead pacific coast","longspine thornyhead pacific coast","LSTHORNHPCOAST","NWFSC-LSTHORNHPCOAST-1964-2013-KURIYAMA",2006,"SSB-MT",22244,"SSBmsy-MT",13108,1.69697894415624,"west","not overfished","above","none","not"
"306","longspine thornyhead pacific coast 2007",0.28169014084507,0.071,"Umsy-ratio",0.02,"F","longspine thornyhead pacific coast","longspine thornyhead pacific coast","LSTHORNHPCOAST","NWFSC-LSTHORNHPCOAST-1964-2013-KURIYAMA",2007,"SSB-MT",23440,"SSBmsy-MT",13108,1.7882209337809,"west","not overfished","above","none","not"
